date,road,home,start_eastern,TV
3/31/24,L.A. Lakers,Brooklyn,6:00 PM,
3/31/24,LA Clippers,Charlotte,6:00 PM,
3/31/24,Philadelphia,Toronto,6:00 PM,
3/31/24,Miami,Washington,6:00 PM,
3/31/24,Oklahoma City,New York,7:00 PM,
3/31/24,Dallas,Houston,7:00 PM,
3/31/24,Chicago,Minnesota,7:00 PM,
3/31/24,Golden State,San Antonio,7:00 PM,NBA TV
3/31/24,Utah,Sacramento,9:00 PM,
4/1/24,Boston,Charlotte,7:00 PM,NBA TV
4/1/24,Memphis,Detroit,7:00 PM,
4/1/24,Brooklyn,Indiana,7:00 PM,
4/1/24,Portland,Orlando,7:00 PM,
4/1/24,Atlanta,Chicago,8:00 PM,
4/1/24,Phoenix,New Orleans,8:00 PM,
4/2/24,Oklahoma City,Philadelphia,7:00 PM,
4/2/24,L.A. Lakers,Toronto,7:00 PM,
4/2/24,Milwaukee,Washington,7:00 PM,
4/2/24,New York,Miami,7:30 PM,
4/2/24,Golden State,Dallas,7:30 PM,TNT
4/2/24,Houston,Minnesota,8:00 PM,
4/2/24,San Antonio,Denver,9:00 PM,
4/2/24,Cleveland,Utah,9:00 PM,
4/2/24,LA Clippers,Sacramento,10:00 PM,TNT
4/3/24,Portland,Charlotte,7:00 PM,
4/3/24,L.A. Lakers,Washington,7:00 PM,
4/3/24,Detroit,Atlanta,7:30 PM,
4/3/24,Oklahoma City,Boston,7:30 PM,
4/3/24,Indiana,Brooklyn,7:30 PM,
4/3/24,Memphis,Milwaukee,7:30 PM,ESPN
4/3/24,Toronto,Minnesota,8:00 PM,
4/3/24,Orlando,New Orleans,8:00 PM,
4/3/24,Cleveland,Phoenix,10:00 PM,ESPN
4/4/24,Philadelphia,Miami,7:30 PM,TNT
4/4/24,Sacramento,New York,7:30 PM,
4/4/24,Golden State,Houston,8:00 PM,
4/4/24,Denver,LA Clippers,10:00 PM,TNT
4/5/24,Orlando,Charlotte,7:00 PM,
4/5/24,Oklahoma City,Indiana,7:00 PM,
4/5/24,Portland,Washington,7:00 PM,
4/5/24,Sacramento,Boston,7:30 PM,NBA TV
4/5/24,New York,Chicago,8:00 PM,
4/5/24,Miami,Houston,8:00 PM,
4/5/24,Detroit,Memphis,8:00 PM,
4/5/24,Toronto,Milwaukee,8:00 PM,
4/5/24,San Antonio,New Orleans,8:00 PM,
4/5/24,Atlanta,Dallas,8:30 PM,
4/5/24,Minnesota,Phoenix,10:00 PM,NBA TV
4/5/24,Utah,LA Clippers,10:30 PM,
4/6/24,Cleveland,L.A. Lakers,3:30 PM,
4/6/24,Detroit,Brooklyn,7:00 PM,
4/6/24,Philadelphia,Memphis,8:00 PM,
4/6/24,Atlanta,Denver,9:00 PM,
4/7/24,Houston,Dallas,3:30 PM,NBA TV
4/7/24,Cleveland,LA Clippers,3:30 PM,
4/7/24,Miami,Indiana,5:00 PM,
4/7/24,Portland,Boston,6:00 PM,
4/7/24,Oklahoma City,Charlotte,6:00 PM,
4/7/24,Chicago,Orlando,6:00 PM,
4/7/24,Washington,Toronto,6:00 PM,
4/7/24,New Orleans,Phoenix,6:00 PM,
4/7/24,New York,Milwaukee,7:00 PM,NBA TV
4/7/24,Philadelphia,San Antonio,7:00 PM,
4/7/24,Sacramento,Brooklyn,7:30 PM,
4/7/24,Utah,Golden State,8:30 PM,
4/7/24,Minnesota,L.A. Lakers,10:00 PM,NBA TV
4/9/24,Dallas,Charlotte,7:00 PM,
4/9/24,Detroit,Philadelphia,7:00 PM,
4/9/24,Indiana,Toronto,7:00 PM,
4/9/24,Miami,Atlanta,7:30 PM,
4/9/24,Boston,Milwaukee,7:30 PM,TNT
4/9/24,New York,Chicago,8:00 PM,
4/9/24,Orlando,Houston,8:00 PM,
4/9/24,San Antonio,Memphis,8:00 PM,
4/9/24,Washington,Minnesota,8:00 PM,
4/9/24,Sacramento,Oklahoma City,8:00 PM,
4/9/24,Denver,Utah,9:00 PM,
4/9/24,Golden State,L.A. Lakers,10:00 PM,TNT
4/9/24,LA Clippers,Phoenix,10:00 PM,
4/9/24,New Orleans,Portland,10:00 PM,
4/10/24,Memphis,Cleveland,7:00 PM,
4/10/24,Charlotte,Atlanta,7:30 PM,
4/10/24,Toronto,Brooklyn,7:30 PM,
4/10/24,Dallas,Miami,7:30 PM,ESPN
4/10/24,Orlando,Milwaukee,8:00 PM,
4/10/24,San Antonio,Oklahoma City,8:00 PM,
4/10/24,Minnesota,Denver,10:00 PM,ESPN
4/10/24,Phoenix,LA Clippers,10:30 PM,
4/11/24,Chicago,Detroit,7:00 PM,
4/11/24,New York,Boston,7:30 PM,TNT
4/11/24,Houston,Utah,9:00 PM,
4/11/24,Golden State,Portland,10:00 PM,
4/11/24,New Orleans,Sacramento,10:00 PM,TNT
4/12/24,Orlando,Philadelphia,7:00 PM,
4/12/24,Chicago,Washington,7:00 PM,
4/12/24,Charlotte,Boston,7:30 PM,
4/12/24,Indiana,Cleveland,7:30 PM,
4/12/24,Brooklyn,New York,7:30 PM,
4/12/24,Toronto,Miami,8:00 PM,
4/12/24,L.A. Lakers,Memphis,8:00 PM,NBA TV
4/12/24,Atlanta,Minnesota,8:00 PM,
4/12/24,Milwaukee,Oklahoma City,8:00 PM,
4/12/24,Denver,San Antonio,8:00 PM,
4/12/24,Detroit,Dallas,8:30 PM,
4/12/24,New Orleans,Golden State,10:00 PM,
4/12/24,Houston,Portland,10:00 PM,
4/12/24,Utah,LA Clippers,10:30 PM,
4/12/24,Phoenix,Sacramento,10:30 PM,NBA TV
4/14/24,Washington,Boston,1:00 PM,
4/14/24,Charlotte,Cleveland,1:00 PM,
4/14/24,Atlanta,Indiana,1:00 PM,
4/14/24,Toronto,Miami,1:00 PM,
4/14/24,Chicago,New York,1:00 PM,
4/14/24,Milwaukee,Orlando,1:00 PM,
4/14/24,Brooklyn,Philadelphia,1:00 PM,
4/14/24,Denver,Memphis,3:30 PM,
4/14/24,Phoenix,Minnesota,3:30 PM,
4/14/24,L.A. Lakers,New Orleans,3:30 PM,
4/14/24,Dallas,Oklahoma City,3:30 PM,
4/14/24,Detroit,San Antonio,3:30 PM,
4/14/24,Utah,Golden State,3:30 PM,
4/14/24,Houston,LA Clippers,3:30 PM,
4/14/24,Portland,Sacramento,3:30 PM,
